Gender,Marital_status,Nationality,Age_at_enrollment,Debtor,Scholarship_holder,Tuition_fees_up_to_date,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Displaced,Attendance,Educational_special_needs,International,Application_mode,Application_order,Previous_qualification,Course,Previous_qualification_grade,Admission_grade,Target,Curricular_units_1st_sem_(credited),Curricular_units_2nd_sem_(credited),Curricular_units_1st_sem_(enrolled),Curricular_units_2nd_sem_(enrolled),Curricular_units_1st_sem_(evaluations),Curricular_units_2nd_sem_(evaluations),Curricular_units_1st_sem_(approved),Curricular_units_2nd_sem_(approved),Curricular_units_1st_sem_(grade),Curricular_units_2nd_sem_(grade),Curricular_units_1st_sem_(without_evaluations),Curricular_units_2nd_sem_(without_evaluations),GDP,Inflation_rate,Unemployment_rate
0,1,1,18,0,1,0,3,3,7,10,1,0,0,0,1,1,2,2,147.87495716901878,120.64827136272342,Graduate,1,2,5,4,4,3,4,3,12.141273630999251,12.16827103913605,2,0,2.5336483116272492,1.6822592003279873,7.89897860683082
1,2,1,22,0,0,0,1,2,2,10,1,0,0,0,4,1,2,7,134.61731305287267,129.76071351674295,Enrolled,0,1,5,6,3,4,3,5,14.036227130245095,12.668585443568196,0,0,1.797936629383997,1.2638390402781319,9.184909809956183
1,2,1,25,0,0,0,2,5,1,7,0,1,0,0,4,1,4,7,117.09954153281262,107.9731603936382,Dropout,1,0,5,4,2,3,4,3,13.713599062166896,13.336898610088339,0,0,1.763454357879815,1.1799989687837915,7.3184748273828255
1,1,1,17,0,0,0,2,2,7,2,1,1,0,0,1,4,2,4,157.56928445469538,164.58807033365872,Graduate,1,0,5,5,4,4,5,4,16.187970748704277,16.150880679307672,0,0,1.9132793667880839,1.4473378488868767,6.6338415986229275
0,1,1,25,0,0,0,3,2,8,10,0,0,0,0,1,1,2,5,139.9311469214799,132.53538658807724,Dropout,0,0,4,5,3,4,3,4,12.186767075685271,13.301113491499985,0,0,1.841268438338869,1.4700381483934677,5.599353733452489
0,1,1,21,0,0,0,4,2,7,7,0,1,0,0,2,1,2,4,127.74236275360639,137.49862372914373,Dropout,0,0,7,8,7,6,4,5,12.720529025032596,10.838616714418983,0,0,2.8957037780159443,0.424360436046457,6.336393247148295
0,1,1,26,0,0,1,4,4,7,3,0,1,0,0,1,1,2,3,119.96803116229306,127.84193007254885,Graduate,1,1,4,4,3,4,3,2,12.671030406315603,12.715499521294692,0,0,3.8090401346939133,3.118384687477853,8.095669845078493
1,1,1,20,0,0,0,2,3,6,7,0,1,0,0,1,1,2,7,158.4493484348656,152.37537771487618,Graduate,0,0,6,6,4,4,3,5,19.525886188016862,19.260333373341634,0,0,1.3722551120899706,1.7506989278998306,7.473147962296663
1,1,1,23,0,1,1,3,2,7,7,0,1,0,0,1,1,2,7,167.68716283295583,170.07473065890088,Graduate,0,0,5,5,5,5,4,2,15.886952730882781,16.27556098679397,0,0,3.5192974199307256,2.1557939201098435,6.116615010519074
1,1,1,21,1,0,0,1,1,5,2,0,1,0,0,1,2,2,4,151.50677282190878,149.3621957913092,Dropout,0,1,4,4,4,3,4,2,12.207056844991861,12.236645314927344,0,0,1.8274316810059041,1.5383247384781684,9.20780164565521
