"Marital_status","Application_mode","Application_order","Course","Daytime/evening_attendance	","Previous_qualification","Previous_qualification_(grade)","Nationality","Mothers_qualification","Fathers_qualification","Mothers_occupation","Fathers_occupation","Admission_grade","Displaced","Educational_special_needs","Debtor","Tuition_fees_up_to_date","Gender","Scholarship_holder","Age_at_enrollment","International","Curricular_units_1st_sem_(credited)","Curricular_units_1st_sem_(enrolled)","Curricular_units_1st_sem_(evaluations)","Curricular_units_1st_sem_(approved)","Curricular_units_1st_sem_(grade)","Curricular_units_1st_sem_(without_evaluations)","Curricular_units_2nd_sem_(credited)","Curricular_units_2nd_sem_(enrolled)","Curricular_units_2nd_sem_(evaluations)","Curricular_units_2nd_sem_(approved)","Curricular_units_2nd_sem_(grade)","Curricular_units_2nd_sem_(without_evaluations)","Unemployment_rate","Inflation_rate","GDP","Target","Completed_exams_ratio","Passed_exams_ratio","CU_enrolled_1st_sem_winsorized","CU_enrolled_2nd_sem_winsorized","CU_evaluations_1st_sem_winsorized","CU_evaluations_2nd_sem_winsorized","CU_approved_1st_sem_winsorized","CU_approved_2nd_sem_winsorized","CU_grade_1st_sem_clean","CU_grade_2nd_sem_clean","PC1","PC2","PC3"
1,5,1,8,1,2,160,1,2,2,10,1,142.5,1,0,0,0,1,0,19,0,0,6,6,6,14,0,0,6,6,6,13.6666666666667,0,13.9,-0.3,0.79,"Graduate",100,100,6,6,6,6,6,6,14,13.6666666666667,1.54611727570649,-2.06530352798125,-0.0829020842856802
1,1,2,3,1,2,122,1,4,4,3,1,119.6,1,0,0,1,0,0,20,0,0,6,8,6,13.4285714285714,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,"Graduate",91.6666666666667,61.1111111111111,6,6,8,10,6,5,13.4285714285714,12.4,0.558710395394179,-0.366453856302069,0.354474690419537
2,3,1,3,0,2,100,1,5,5,7,7,141.5,0,0,0,1,0,0,45,0,0,6,9,5,12.3333333333333,0,0,6,6,6,13,0,13.9,-0.3,0.79,"Graduate",91.6666666666667,73.3333333333333,6,6,9,6,5,6,12.3333333333333,13,0.497051024137592,-0.962366868369803,-0.369888814691043
2,3,1,4,0,4,133.1,1,5,5,7,5,114.8,0,0,1,1,1,0,50,0,0,5,10,5,11.8571428571429,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,"Graduate",100,37.037037037037,5,5,10,15,5,5,11.8571428571429,11.5,-0.554590799182238,0.798880365889086,0.736752471901163
1,1,1,1,1,2,142,1,3,3,5,8,128.4,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,"Graduate",100,88.2352941176471,7,8,9,8,7,8,13.3,14.345,2.626528782292,-0.24126832249189,-0.102578279306534
1,1,4,8,1,2,119,1,5,5,7,7,113.1,1,0,0,0,1,0,22,0,0,5,5,0,0,0,0,5,5,0,0,0,15.5,2.8,-4.06,"Dropout",0,0,5,5,5,5,0,0,10,10,-5.01707202900009,-0.605520550381246,-0.936021995733774
1,1,3,3,1,2,137,2,2,2,7,7,129.3,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.1428571428571,0,16.2,0.3,-0.92,"Graduate",100,80,6,6,8,7,6,6,13.875,14.1428571428571,1.4278395481294,-1.42050498730302,0.515792930818958
1,1,1,3,1,2,138,1,2,2,2,5,123,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,"Dropout",58.3333333333333,30.4347826086957,6,6,9,14,5,2,11.4,13.5,-0.975787824949846,1.08559335638168,1.18875338622698
1,1,1,4,1,2,139,1,4,4,3,5,130.6,1,0,0,1,0,0,18,0,0,6,6,6,12.3333333333333,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,"Graduate",91.6666666666667,84.6153846153846,6,6,6,7,6,5,12.3333333333333,14.2,0.879050173068427,-1.55534198683403,-0.188129927399569
1,1,1,1,1,2,136,1,3,3,7,7,119.3,1,0,0,1,0,1,18,0,0,8,8,7,13.2142857142857,0,0,8,8,7,13.2142857142857,0,12.7,3.7,-1.7,"Graduate",87.5,87.5,8,8,8,8,7,7,13.2142857142857,13.2142857142857,2.21356181018792,0.11569517309307,-0.636505703717934
1,1,2,3,1,2,133,1,3,3,2,7,130.2,1,0,0,1,0,0,19,0,0,6,6,0,0,0,0,6,0,0,0,0,12.7,3.7,-1.7,"Dropout",0,0,6,6,6,5,0,0,10,10,-4.6041184326314,0.12571058458261,-1.10543517439381
1,4,1,8,1,1,110,1,2,2,2,5,111.8,1,0,0,1,0,1,21,0,0,6,7,6,10.5714285714286,0,0,6,8,5,11,0,8.9,1.4,3.51,"Graduate",91.6666666666667,73.3333333333333,6,6,7,8,6,5,10.5714285714286,11,-0.240047560936109,-0.402930658737582,-1.685330759366
1,1,1,2,1,2,149,1,4,4,3,3,137.1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12,0,10.8,1.4,1.74,"Graduate",90,75,5,5,7,5,4,5,13.25,12,-0.321879713934221,-2.0527666003474,-0.289647351176098
1,1,1,3,1,2,127,1,3,3,7,1,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0,0,15.5,2.8,-4.06,"Dropout",41.6666666666667,38.4615384615385,6,6,6,7,5,0,13.2,13.0412,-1.38020374020139,-0.835081549913854,0.70889527473345
1,1,1,3,1,2,137,1,3,3,3,6,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12,0,0,6,14,2,11,0,10.8,1.4,1.74,"Enrolled",25,12.5,6,6,10,14,1,2,12,11,-2.69544207174245,1.78977331553627,1.12297219630381
1,1,2,1,1,2,135,1,3,3,3,2,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,"Graduate",100,93.75,7,8,8,8,7,8,13.30625,14.545,2.72263128790596,-0.494259099420895,-0.170966402568147
1,1,1,2,1,2,137,1,1,1,10,3,136.3,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,"Graduate",80,50,5,5,8,8,4,4,12.5,12.25,-0.92553609224709,-1.00640325321966,0.285518893473058
1,1,1,3,1,2,140,1,3,3,5,5,124.6,1,0,0,1,0,0,18,0,0,7,7,6,11.6666666666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,"Enrolled",85.7142857142857,80,7,7,7,8,6,6,11.6666666666667,13.5,1.07708666525916,-0.388324715099511,-0.760207777496706
1,1,4,1,1,2,127,1,2,2,2,5,121.8,1,0,0,1,0,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,"Enrolled",100,65.2173913043478,7,8,14,9,7,8,11.4375,11.425,1.45750403185821,1.69565603723858,-1.05895261353465
1,1,4,1,1,2,142,1,3,3,1,1,125.5,1,0,0,1,0,0,18,0,0,8,12,7,12.8571428571429,0,0,8,12,7,12.8571428571429,0,12.7,3.7,-1.7,"Graduate",87.5,58.3333333333333,8,8,12,12,7,7,12.8571428571429,12.8571428571429,1.877001304486,1.87930412546249,0.215768826101234
1,1,4,4,1,2,125,1,2,2,2,5,114.9,1,0,0,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.2857142857143,0,11.1,0.6,2.02,"Graduate",100,80,6,6,8,7,6,6,13.375,12.2857142857143,0.942664522950346,-1.08357028139986,-0.332117704425262
1,1,1,1,1,2,126,1,3,3,10,5,123.9,0,0,0,1,0,0,19,0,0,7,8,6,13.2966666666667,0,0,8,9,7,14.1142857142857,0,11.1,0.6,2.02,"Graduate",86.6666666666667,76.4705882352941,7,8,8,9,6,7,13.2966666666667,14.1142857142857,1.93669904175079,-0.0525627534253492,0.114879809612076
1,1,1,3,1,2,151,1,3,3,7,7,157,1,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11,0,7.6,2.6,0.32,"Enrolled",75,45,6,6,8,12,5,4,11.6,11,-0.80034107988093,0.654867535318828,-0.280495918771099
1,1,2,3,1,2,115,1,3,3,5,6,116.4,1,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.2857142857143,0,16.2,0.3,-0.92,"Graduate",100,66.6666666666667,6,6,9,9,6,6,11.375,13.2857142857143,0.64060785386706,-0.309415354994907,-0.300559920720918
1,1,1,2,1,2,138,1,3,3,10,1,131,1,0,0,1,0,0,18,0,0,5,9,5,12.6666666666667,2,0,5,7,4,13,0,9.4,-0.8,-3.12,"Enrolled",90,56.25,5,5,9,7,5,4,12.6666666666667,13,-0.372238428916278,-1.22205388017661,0.446124495237127
1,1,1,4,1,2,135,1,3,3,7,7,122.1,1,0,0,1,0,0,20,0,0,5,6,5,12,0,0,5,6,5,12.3333333333333,0,16.2,0.3,-0.92,"Graduate",100,83.3333333333333,5,5,6,6,5,5,12,12.3333333333333,-0.0940585595902668,-2.03142374484655,-0.786350793923237
1,1,2,1,1,2,127,1,1,1,1,8,118.8,1,0,0,1,1,0,19,0,0,7,9,6,12.9333333333333,0,0,7,7,6,13.7166666666667,0,16.2,0.3,-0.92,"Enrolled",85.7142857142857,75,7,7,9,7,6,6,12.9333333333333,13.7166666666667,1.32265897473324,-0.374273220489371,-0.0843266744094741
1,4,1,7,1,3,150,1,1,1,2,1,150,0,0,0,1,1,0,21,0,0,6,15,5,11.8571428571429,0,0,6,17,5,10.5714285714286,0,16.2,0.3,-0.92,"Enrolled",83.3333333333333,31.25,6,6,15,15,5,5,11.8571428571429,10.5714285714286,-0.547955901709654,2.52527350145228,0.721918479158504
1,2,1,5,1,2,125,1,1,1,1,1,130,1,0,0,1,1,0,20,0,2,6,7,6,12.8333333333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,"Graduate",83.3333333333333,62.5,6,6,7,9,6,4,12.8333333333333,13.4,0.345779780253377,-0.741240302909877,0.347989103394179
1,1,1,4,1,2,143,1,2,2,2,4,138.8,0,0,0,0,1,0,18,0,0,5,9,3,11.3333333333333,0,0,5,8,2,13.5,0,8.9,1.4,3.51,"Enrolled",50,29.4117647058824,5,5,9,8,3,2,11.3333333333333,13.5,-2.03082394508983,-0.515060563493728,0.843549275466815
1,1,1,3,0,2,138,1,3,3,7,3,134.5,1,0,0,1,0,0,19,0,0,6,6,6,12.6666666666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,"Graduate",100,85.7142857142857,6,6,6,8,6,6,12.6666666666667,14.375,1.29545389771945,-1.51302936407521,0.0148474762418282
1,1,1,4,0,2,130,1,1,1,10,7,131.4,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.4285714285714,0,13.9,-0.3,0.79,"Graduate",100,66.6666666666667,5,5,6,9,5,5,12.4,13.4285714285714,0.0922698852624955,-1.57724740504801,0.260042271640071
1,3,1,6,1,2,130,1,4,4,7,4,102.5,0,0,1,0,1,0,37,0,0,7,7,0,0,0,0,7,7,1,10,0,8.9,1.4,3.51,"Dropout",7.14285714285714,7.14285714285714,7,7,7,7,0,1,10.846,10,-3.61569585975042,0.990804010525355,-0.858127796394764
1,2,1,4,1,2,140,1,5,5,4,4,122.9,0,0,0,1,0,0,55,0,0,5,10,1,10,0,0,5,8,2,12,2,16.2,0.3,-0.92,"Dropout",30,16.6666666666667,5,5,10,8,1,2,10,12,-3.359965088869,0.238049648520586,0.180470624536526
3,3,1,4,0,2,120,1,3,3,7,1,113.9,1,0,0,1,0,0,39,0,0,5,8,5,11,0,0,5,5,5,11.6,0,7.6,2.6,0.32,"Graduate",100,76.9230769230769,5,5,8,5,5,5,11,11.6,-0.530172386689423,-1.55593594786276,-1.30949457278814
1,4,1,2,1,3,120,2,1,1,10,4,120,0,0,1,0,0,0,20,1,2,6,13,3,11.6666666666667,0,1,6,11,3,12,0,12.4,0.5,1.79,"Dropout",50,25,6,6,13,11,3,3,11.6666666666667,12,-1.61435114438012,1.48744237048788,0.89162911277174
1,1,5,3,1,2,126,1,1,1,1,1,121.1,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0,0,12.7,3.7,-1.7,"Dropout",36.3636363636364,36.3636363636364,6,5,6,5,4,0,12.75,12.7325,-2.0804311786445,-1.33639179351246,0.412890228966449
1,1,2,4,1,2,133,1,1,1,1,5,120.4,1,0,0,1,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,"Graduate",100,100,5,5,5,5,5,5,14.8,15.8,1.36143714595698,-3.40857815758107,1.1619105101558
1,1,6,1,1,2,103,1,2,2,1,1,100.6,1,1,0,1,0,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.3428571428571,0,11.1,0.6,2.02,"Graduate",80,66.6666666666667,7,8,9,9,5,7,13.928,14.3428571428571,1.7471018143546,0.100992816641427,0.696010032370039
1,1,1,3,1,2,120,1,2,2,3,3,121.4,0,0,0,0,0,0,20,0,0,6,7,4,13,0,0,6,7,5,13.8,0,12.4,0.5,1.79,"Dropout",75,64.2857142857143,6,6,7,7,4,5,13,13.8,0.136143930509452,-1.19640343301023,0.361223449996732
1,1,1,4,0,2,154,1,4,4,2,3,134.1,0,0,0,1,0,0,24,0,0,5,9,2,11.5,0,0,5,11,3,14.3333333333333,1,7.6,2.6,0.32,"Enrolled",50,25,5,5,9,11,2,3,11.5,14.3333333333333,-1.80560940415105,-0.118180700806014,1.59095275976553
1,1,2,3,1,2,130,1,3,3,7,7,127.6,1,0,0,1,0,0,18,0,0,6,6,6,11.6666666666667,0,0,6,8,5,13.2,0,11.1,0.6,2.02,"Graduate",91.6666666666667,78.5714285714286,6,6,6,8,6,5,11.6666666666667,13.2,0.489006027341449,-1.09264377615394,-0.625659455222563
1,1,6,1,1,2,132,1,5,5,5,5,132.4,1,0,0,1,0,1,22,0,0,7,8,6,13.5166666666667,0,0,8,9,7,13.7714285714286,0,11.1,0.6,2.02,"Graduate",86.6666666666667,76.4705882352941,7,8,8,9,6,7,13.5166666666667,13.7714285714286,1.91173574211348,-0.033513319806756,0.0789856690917757
1,4,1,3,0,3,130,1,2,2,7,7,133.4,0,0,0,1,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.2857142857143,0,12.4,0.5,1.79,"Graduate",100,92.3076923076923,6,6,6,7,6,6,11.5,13.2857142857143,0.883596893846239,-1.42544706220693,-0.996926881607913
1,1,1,3,1,2,139,1,5,5,7,7,126.1,0,0,0,1,0,1,19,0,0,6,7,5,12.3333333333333,0,0,6,7,6,12.8333333333333,0,12.7,3.7,-1.7,"Graduate",91.6666666666667,78.5714285714286,6,6,7,7,5,6,12.3333333333333,12.8333333333333,0.526748356461319,-1.16054879870721,-0.540777641941555
1,3,1,8,1,2,130,1,3,3,7,5,113.5,0,0,0,1,0,1,24,0,0,6,6,6,13.6666666666667,0,0,6,6,6,14.1666666666667,0,12.4,0.5,1.79,"Graduate",100,100,6,6,6,6,6,6,13.6666666666667,14.1666666666667,1.57993619739406,-2.09135673323761,-0.0353851625020172
1,1,1,1,1,2,139,1,5,5,4,4,121.3,1,0,0,1,0,1,19,0,0,8,10,6,11.8333333333333,0,0,8,10,6,11.8333333333333,0,9.4,-0.8,-3.12,"Enrolled",75,60,8,8,10,10,6,6,11.8333333333333,11.8333333333333,0.889818176535705,1.49744965895899,-0.818673336502875
