"Marital_status","Application_mode","Application_order","Course","Daytime/evening_attendance	","Previous_qualification","Previous_qualification_(grade)","Nationality","Mothers_qualification","Fathers_qualification","Mothers_occupation","Fathers_occupation","Admission_grade","Displaced","Educational_special_needs","Debtor","Tuition_fees_up_to_date","Gender","Scholarship_holder","Age_at_enrollment","International","Curricular_units_1st_sem_(credited)","Curricular_units_1st_sem_(enrolled)","Curricular_units_1st_sem_(evaluations)","Curricular_units_1st_sem_(approved)","Curricular_units_1st_sem_(grade)","Curricular_units_1st_sem_(without_evaluations)","Curricular_units_2nd_sem_(credited)","Curricular_units_2nd_sem_(enrolled)","Curricular_units_2nd_sem_(evaluations)","Curricular_units_2nd_sem_(approved)","Curricular_units_2nd_sem_(grade)","Curricular_units_2nd_sem_(without_evaluations)","Unemployment_rate","Inflation_rate","GDP","Target","Completed_exams_ratio","Passed_exams_ratio"
1,1,5,5,1,2,122,1,3,3,3,7,127.3,1,0,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,"Dropout",0,0
1,5,1,8,1,2,160,1,2,2,10,1,142.5,1,0,0,0,1,0,19,0,0,6,6,6,14,0,0,6,6,6,13.6666666666667,0,13.9,-0.3,0.79,"Graduate",100,100
1,1,5,5,1,2,122,1,5,5,7,7,124.8,1,0,0,0,1,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,"Dropout",0,0
1,1,2,3,1,2,122,1,4,4,3,1,119.6,1,0,0,1,0,0,20,0,0,6,8,6,13.4285714285714,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,"Graduate",91.6666666666667,61.1111111111111
2,3,1,3,0,2,100,1,5,5,7,7,141.5,0,0,0,1,0,0,45,0,0,6,9,5,12.3333333333333,0,0,6,6,6,13,0,13.9,-0.3,0.79,"Graduate",91.6666666666667,73.3333333333333
2,3,1,4,0,4,133.1,1,5,5,7,5,114.8,0,0,1,1,1,0,50,0,0,5,10,5,11.8571428571429,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,"Graduate",100,37.037037037037
1,1,1,1,1,2,142,1,3,3,5,8,128.4,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,"Graduate",100,88.2352941176471
1,1,4,8,1,2,119,1,5,5,7,7,113.1,1,0,0,0,1,0,22,0,0,5,5,0,0,0,0,5,5,0,0,0,15.5,2.8,-4.06,"Dropout",0,0
1,1,3,3,1,2,137,2,2,2,7,7,129.3,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.1428571428571,0,16.2,0.3,-0.92,"Graduate",100,80
1,1,1,3,1,2,138,1,2,2,2,5,123,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,"Dropout",58.3333333333333,30.4347826086957
1,1,1,4,1,2,139,1,4,4,3,5,130.6,1,0,0,1,0,0,18,0,0,6,6,6,12.3333333333333,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,"Graduate",91.6666666666667,84.6153846153846
1,1,1,1,1,2,136,1,3,3,7,7,119.3,1,0,0,1,0,1,18,0,0,8,8,7,13.2142857142857,0,0,8,8,7,13.2142857142857,0,12.7,3.7,-1.7,"Graduate",87.5,87.5
1,1,2,3,1,2,133,1,3,3,2,7,130.2,1,0,0,1,0,0,19,0,0,6,6,0,0,0,0,6,0,0,0,0,12.7,3.7,-1.7,"Dropout",0,0
1,4,1,8,1,1,110,1,2,2,2,5,111.8,1,0,0,1,0,1,21,0,0,6,7,6,10.5714285714286,0,0,6,8,5,11,0,8.9,1.4,3.51,"Graduate",91.6666666666667,73.3333333333333
1,1,1,2,1,2,149,1,4,4,3,3,137.1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12,0,10.8,1.4,1.74,"Graduate",90,75
1,1,1,3,1,2,127,1,3,3,7,1,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0,0,15.5,2.8,-4.06,"Dropout",41.6666666666667,38.4615384615385
1,1,1,3,1,2,137,1,3,3,3,6,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12,0,0,6,14,2,11,0,10.8,1.4,1.74,"Enrolled",25,12.5
1,1,2,1,1,2,135,1,3,3,3,2,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,"Graduate",100,93.75
1,1,1,2,1,2,137,1,1,1,10,3,136.3,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,"Graduate",80,50
1,1,1,3,1,2,140,1,3,3,5,5,124.6,1,0,0,1,0,0,18,0,0,7,7,6,11.6666666666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,"Enrolled",85.7142857142857,80
1,1,3,5,1,2,122,1,2,2,7,6,120.3,0,0,0,1,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0.6,2.02,"Graduate",0,0
1,1,4,1,1,2,127,1,2,2,2,5,121.8,1,0,0,1,0,0,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,"Enrolled",100,65.2173913043478
1,1,4,1,1,2,142,1,3,3,1,1,125.5,1,0,0,1,0,0,18,0,0,8,12,7,12.8571428571429,0,0,8,12,7,12.8571428571429,0,12.7,3.7,-1.7,"Graduate",87.5,58.3333333333333
1,1,4,4,1,2,125,1,2,2,2,5,114.9,1,0,0,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.2857142857143,0,11.1,0.6,2.02,"Graduate",100,80
1,1,1,1,1,2,126,1,3,3,10,5,123.9,0,0,0,1,0,0,19,0,0,7,8,6,13.2966666666667,0,0,8,9,7,14.1142857142857,0,11.1,0.6,2.02,"Graduate",86.6666666666667,76.4705882352941
1,1,1,3,1,2,151,1,3,3,7,7,157,1,0,1,1,0,1,18,0,0,6,8,5,11.6,0,0,6,12,4,11,0,7.6,2.6,0.32,"Enrolled",75,45
