Gender,Marital_status,Nationality,Age_at_enrollment,Debtor,Scholarship_holder,Tuition_fees_up_to_date,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Displaced,Attendance,Educational_special_needs,International,Application_mode,Application_order,Previous_qualification,Course,Previous_qualification_(grade),Admission_grade,Curricular_units_1st_sem_(enrolled),Curricular_units_2nd_sem_(enrolled),Curricular_units_1st_sem_(evaluations),Curricular_units_2nd_sem_(evaluations),Curricular_units_1st_sem_(approved),Curricular_units_2nd_sem_(approved),Curricular_units_1st_sem_(grade),Curricular_units_2nd_sem_(grade),GDP,Inflation_rate,Unemployment_rate,Target,Curricular_units_1st_sem_(credited),Curricular_units_2nd_sem_(credited),Curricular_units_1st_sem_(without_evaluations),Curricular_units_2nd_sem_(without_evaluations)
1,1,1,20,0,0,0,4,3,5,4,0,1,0,0,1,1,2,4,170.96024387565473,173.65374251106067,5,6,3,4,2,2,16.2581507330536,14.788046548750126,0.43673484457529566,0.8552206269896334,7.313887179743731,Graduate,1,0,0,0
0,1,1,21,0,0,0,2,3,9,5,0,1,0,0,1,1,2,7,156.04295694213786,159.15054932952887,4,4,2,3,2,3,17.762874927819496,18.267131921791442,0.6824768104505265,1.4150808634747214,7.963843403850795,Dropout,2,0,0,0
0,1,1,22,1,0,0,3,5,9,4,0,1,0,0,1,1,4,8,108.07974566953104,105.40018670211968,3,2,3,3,0,1,14.754850949432827,15.212354633434739,2.2113407845573785,2.255208153914208,4.962645764589897,Dropout,1,1,0,0
1,1,1,27,0,0,0,3,3,2,10,0,1,0,0,1,4,2,5,140.65917460169447,137.87635750269646,5,4,5,4,5,4,13.475898923132137,12.413505837485399,1.2101233455173643,1.63329484374372,4.686343575218256,Dropout,0,0,0,0
0,1,1,23,0,0,0,3,5,2,7,0,1,0,0,3,1,2,4,152.10050442281735,148.63462051645328,5,5,6,5,5,4,13.964386181032802,12.637397231688624,1.171905092741571,1.0702151046570538,5.603515938613952,Graduate,0,0,0,0
1,1,1,17,0,0,0,2,2,5,7,0,1,0,0,1,5,2,7,179.3690032823904,185.28391290740106,6,5,5,6,5,5,15.99341173926008,16.00893062506753,1.1186041751565052,2.4046011856368814,4.875637208878503,Graduate,0,0,0,0
1,1,1,21,0,1,0,2,1,10,6,0,1,0,0,3,1,3,6,151.1206648926889,147.00741869684717,5,6,6,5,5,6,14.449502364258926,15.870922689718254,2.5831795481686113,2.294333490909154,9.486514117647635,Dropout,0,0,0,0
1,1,1,23,0,0,0,2,4,7,9,1,1,0,0,1,1,2,8,176.87549059794432,172.45009791082995,3,4,1,2,3,4,14.083684717946031,12.509865040213358,3.8471589491249047,1.641962821110577,7.868858977534001,Dropout,0,0,0,2
0,3,1,17,0,0,0,6,3,10,10,1,1,0,0,1,2,4,4,156.47708005308405,162.41691539983543,6,5,4,3,5,4,14.471989868585158,14.194134672840333,0.6051706576697613,1.753755439667078,6.7757283734193905,Dropout,0,0,0,0
1,3,1,28,0,0,0,2,2,8,3,0,1,0,0,1,4,2,8,168.98458163674348,172.47473337621582,4,3,2,1,4,3,17.334548335296304,17.786101029555002,2.582918915961799,0.6876977501354375,4.088265123623426,Graduate,0,0,0,0
1,1,1,21,0,0,0,1,4,9,10,1,1,0,0,3,1,2,4,146.5330664488482,144.33390437389184,5,5,6,7,1,1,15.13146251873254,14.444094473648935,2.804517627930344,1.104862951463044,5.213169858424621,Enrolled,1,0,1,0
0,1,1,18,0,0,0,2,3,8,7,1,0,0,0,1,1,2,3,169.1587359766819,169.62040137343686,6,7,5,6,5,5,17.125936482761183,17.150755922080062,1.83802408346663,1.6673963181148868,3.0816762365963877,Graduate,0,1,0,0
1,3,1,18,0,0,0,2,2,2,7,0,0,0,0,1,5,3,7,146.94775394474246,152.37311943270657,4,5,3,3,1,0,16.28794625593254,15.77350594322635,1.6966752895263393,1.213063261766208,8.427904409120355,Graduate,0,0,0,0
1,1,1,19,0,0,0,2,1,7,5,0,0,0,0,1,2,2,7,149.28100490811048,150.27689382577142,3,4,4,5,1,1,13.748316321411428,12.711801129129462,-0.04892543758462997,1.7757843396776591,9.83437730631799,Dropout,2,0,2,0
0,1,1,19,0,0,0,1,1,3,10,0,1,0,0,1,2,2,8,142.995764015359,155.7479884248319,6,7,6,5,4,3,14.507292231826975,15.680658030187494,2.090785520248604,1.2636268411345777,7.343287438904848,Graduate,0,0,2,0
0,1,2,24,1,0,0,4,4,4,5,0,0,0,0,5,5,2,4,155.25151755255087,157.88318310264643,6,5,7,8,2,3,14.368773679879297,13.936557061329484,1.6118766129694793,0.2230860178587981,8.008450070427314,Graduate,0,2,1,0
1,1,1,19,0,0,0,4,3,1,7,0,1,0,0,4,3,2,5,128.58126308945316,124.45463881701484,4,3,2,2,4,3,16.60023673350225,14.635800083973463,2.1841996337326326,0.4342234591310532,8.055176264935923,Graduate,0,0,0,0
1,1,2,19,0,0,0,3,4,6,7,0,1,0,1,1,2,2,1,164.41755636909448,160.89643596265876,6,7,7,7,0,1,15.224129064453988,14.594305693251696,2.791303672626349,1.5791860057866458,7.241602630564694,Dropout,0,1,0,0
0,1,1,32,1,1,0,6,3,2,2,1,1,0,0,1,2,3,7,164.19292364940017,158.35250631117384,3,2,3,4,3,2,13.756649297956507,14.240912701155882,5.326974443972922,1.380353541349237,5.001081634826523,Graduate,0,0,0,0
0,2,1,26,0,0,0,2,4,3,4,0,1,0,0,4,4,2,8,119.85281664048989,121.93044961861523,4,5,3,2,1,1,15.708635499478815,16.401245315574787,1.236905746399443,1.4814873543163816,5.932973214576352,Graduate,0,0,0,0
