Gender,Marital_Status,Nationality,Age_At_Enrollment,Debtor,Scolarship_Holder,Tuition_Fees_Up_To_Date,Mothers_Qualification,Fathers_Qualification,Mothers_Occupation,Fathers_Occupation,Displaced,Daytime/Evening Attendance,Educational Special Needs,International,Application Mode,Application Order,Previous Qualification,Course,Previous Qualification Grade,Admission Grade,Curricular units 1st sem (credited),Curricular units 2nd sem (credited),Curricular units 1st sem (enrolled),Curricular units 2nd sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 2nd sem (evaluations),Curricular units 1st sem (approved),Curricular units 2nd sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Curricular units 1st sem (without evaluation),Curricular units 2nd sem (without evaluation),GDP,Inflation Rate,Unemployment Rate,Target
1,1,2,41,1,1,1,3,2,6,8,0,0,0,0,4,5,1,3,180.32,175.97,10,0,7,8,10,10,0,6,11.82,5.2,5,5,4.36,1.58,10.46,Dropout
1,2,1,50,0,1,0,3,2,10,5,1,0,1,0,2,1,1,4,169.48,113.17,9,0,2,8,8,3,6,7,1.66,16.98,5,5,-0.34,7.95,5.02,Dropout
0,1,1,60,0,1,1,3,4,9,6,0,0,1,0,5,3,1,5,104.97,110.98,5,6,3,9,2,7,9,1,4.21,2.28,4,4,4.17,1.31,17.03,Enrolled
0,1,1,59,0,0,1,4,3,1,2,0,1,1,1,1,2,4,8,152.46,126.37,4,2,9,3,5,10,5,1,16.7,6.87,4,2,1.06,4.6,7.21,Enrolled
0,2,1,68,0,1,0,6,4,1,9,1,0,1,1,4,4,1,3,172.99,183.06,5,10,4,3,7,10,0,8,17.11,22.485,0,3,-0.31,0.65,18.2,Graduate
0,3,1,46,0,0,1,2,5,4,1,0,0,0,0,5,4,1,2,165.95,198.27,0,4,10,3,10,2,1,8,8.5,7.57,2,4,-0.11,5.87,15.1,Graduate
0,1,1,19,1,0,1,4,1,7,2,0,0,0,1,2,1,3,4,155.37,132.58,10,1,9,4,3,7,10,7,16.66,12.0,1,2,0.54,2.61,14.67,Dropout
0,1,2,32,1,1,0,2,3,1,6,1,1,0,1,3,5,1,8,181.21,189.28,1,2,7,10,2,3,1,1,5.57,4.01,5,5,-4.2,8.83,5.87,Graduate
1,3,1,51,1,0,1,1,3,3,9,0,1,1,1,3,5,2,6,129.59,176.15,4,1,10,9,0,8,7,10,16.84,13.66,0,4,2.76,4.64,6.53,Enrolled
0,1,1,36,0,0,0,3,5,4,2,1,1,0,0,2,2,3,2,173.33,168.35,7,7,8,6,10,2,2,9,13.98,12.14,4,4,0.85,6.1,18.66,Enrolled
1,1,2,24,1,1,1,2,5,7,9,0,0,1,1,4,3,2,1,123.09,190.51,10,5,5,2,8,0,4,0,19.63,7.91,5,3,3.3,-1.04,7.65,Dropout
0,2,2,59,1,0,1,2,1,4,4,0,1,0,1,1,5,2,2,180.75,190.53,7,7,5,3,10,10,10,4,13.34,11.24,4,1,3.05,2.82,15.11,Enrolled
0,2,2,45,0,0,0,5,3,1,4,0,0,1,1,3,3,2,8,143.34,144.9,0,2,8,2,0,2,8,5,10.98,16.71,1,3,3.36,6.25,12.19,Enrolled
0,2,1,19,1,0,1,1,4,1,6,0,0,0,1,2,3,1,6,139.89,142.41,1,3,6,10,1,2,20,0,11.78,1.26,2,5,3.32,4.18,8.46,Enrolled
1,2,2,34,0,0,1,6,6,2,6,0,1,1,1,1,3,1,4,187.58,189.36,1,0,3,3,8,0,0,8,19.99,1.56,4,5,3.82,2.77,10.54,Dropout
0,1,2,19,1,0,0,3,4,5,1,1,0,1,0,3,3,1,2,184.78,182.99,10,5,16,3,0,0,6,10,21.465,15.2,5,4,-3.54,0.28,18.76,Enrolled
1,1,2,17,1,0,0,4,2,9,7,0,1,1,1,5,3,1,2,188.3,169.1,7,3,6,6,6,5,7,7,11.2,4.41,2,2,2.42,3.28,18.24,Dropout
1,2,1,26,0,0,1,3,4,3,5,0,0,0,0,5,2,4,4,138.87,116.26,6,6,9,8,0,10,3,10,17.68,18.01,2,1,1.9,8.8,9.23,Enrolled
1,3,2,50,1,1,1,4,1,2,5,1,0,0,1,2,3,4,1,124.21,169.37,0,4,10,10,10,5,8,3,7.02,16.74,4,5,-1.72,-0.9,14.99,Enrolled
1,3,1,17,1,1,1,4,3,3,5,1,1,0,1,4,2,2,4,247.82999999999998,127.02,7,2,4,7,5,2,5,10,6.14,9.47,0,0,-4.16,7.55,14.74,Dropout
0,1,1,40,1,1,0,5,5,5,3,1,1,1,0,4,2,1,4,159.86,115.02,10,4,9,4,8,9,9,1,11.75,14.43,2,5,-2.51,8.16,9.25,Enrolled
1,1,1,69,1,1,0,6,3,4,3,0,0,1,0,2,1,3,7,103.56,189.76,4,1,4,5,7,0,1,10,11.63,5.1,3,2,-0.24,4.92,6.16,Graduate
1,3,1,17,0,1,1,6,6,5,6,1,0,1,1,5,4,2,1,109.96,131.81,1,4,7,1,9,8,4,2,0.67,8.05,3,1,-1.87,2.95,11.06,Graduate
0,1,2,46,1,1,1,4,1,9,4,1,1,1,0,4,2,1,1,119.47,165.45,7,8,10,3,10,7,0,2,7.35,18.9,2,0,1.81,-0.19,10.26,Enrolled
1,2,1,53,0,1,0,2,5,1,10,0,1,1,0,5,5,3,1,104.54,166.0,3,4,2,10,0,7,10,2,4.19,12.85,2,2,2.99,1.62,10.02,Enrolled
